"GEO_ID","NAME","B23025_001E","B23025_001M","B23025_002E","B23025_002M","B23025_003E","B23025_003M","B23025_004E","B23025_004M","B23025_005E","B23025_005M","B23025_006E","B23025_006M","B23025_007E","B23025_007M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In labor force:","Margin of Error!!Total:!!In labor force:","Estimate!!Total:!!In labor force:!!Civilian labor force:","Margin of Error!!Total:!!In labor force:!!Civilian labor force:","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Employed","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Employed","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Estimate!!Total:!!In labor force:!!Armed Forces","Margin of Error!!Total:!!In labor force:!!Armed Forces","Estimate!!Total:!!Not in labor force","Margin of Error!!Total:!!Not in labor force",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","6374","1088","5532","1012","5532","1012","5215","771","317","369","0","17","842","259",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","2076","298","1825","285","1825","285","1745","273","80","47","0","12","251","70",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","1328","225","1229","227","1229","227","1225","228","4","6","0","12","99","43",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","1786","238","1575","232","1575","232","1560","230","15","14","0","12","211","60",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","1863","209","1627","202","1627","202","1576","197","51","27","0","12","236","96",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","1260","153","1030","149","1030","149","983","144","47","36","0","12","230","89",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","3122","401","2351","287","2351","287","2228","302","123","119","0","12","771","341",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","4373","785","3244","649","3244","649","2990","628","254","150","0","12","1129","390",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","2722","338","2406","294","2406","294","2344","297","62","51","0","12","316","159",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","3540","491","3153","505","3141","508","3021","515","120","73","12","19","387","121",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","2615","341","2294","360","2294","360","2233","358","61","55","0","12","321","155",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","1269","134","1027","116","1027","116","1016","114","11","14","0","12","242","70",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","1273","132","1022","112","1022","112","986","112","36","32","0","12","251","69",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","1345","235","1240","230","1240","230","1160","204","80","52","0","12","105","44",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","1683","206","1405","149","1405","149","1364","152","41","30","0","12","278","107",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","2476","347","2007","283","2007","283","1963","280","44","36","0","12","469","134",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","2887","421","2572","302","2572","302","2513","302","59","45","0","12","315","159",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","3354","491","2885","355","2885","355","2729","295","156","128","0","12","469","203",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","3177","427","2772","336","2772","336","2659","308","113","103","0","12","405","145",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","2095","234","1888","235","1888","235","1824","234","64","39","0","12","207","58",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","5970","749","4913","670","4913","670","4717","672","196","154","0","17","1057","292",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","2764","437","2019","369","2019","369","1998","370","21","19","0","12","745","207",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","3642","445","2998","380","2998","380","2972","380","26","33","0","12","644","220",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","1133","113","610","84","610","84","581","83","29","18","0","12","523","78",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","2307","299","1998","213","1998","213","1983","216","15","16","0","12","309","158",
"1400000US17031070101","Census Tract 701.01, Cook County, Illinois","3245","394","2436","264","2436","264","2260","293","176","105","0","12","809","246",
"1400000US17031070102","Census Tract 701.02, Cook County, Illinois","3168","480","2711","430","2711","430","2677","430","34","33","0","12","457","151",
"1400000US17031070103","Census Tract 701.03, Cook County, Illinois","1461","126","1247","142","1247","142","1228","140","19","20","0","12","214","93",
"1400000US17031070200","Census Tract 702, Cook County, Illinois","3738","679","3150","644","3150","644","2958","488","192","220","0","12","588","214",
"1400000US17031070300","Census Tract 703, Cook County, Illinois","3284","552","2783","400","2783","400","2702","413","81","60","0","12","501","209",
"1400000US17031070400","Census Tract 704, Cook County, Illinois","2840","309","1989","257","1989","257","1989","257","0","12","0","12","851","168",
"1400000US17031070500","Census Tract 705, Cook County, Illinois","2795","346","2086","275","2086","275","1985","256","101","72","0","12","709","222",
"1400000US17031070600","Census Tract 706, Cook County, Illinois","2504","435","1922","296","1922","296","1904","299","18","20","0","12","582","229",
"1400000US17031070700","Census Tract 707, Cook County, Illinois","3104","499","2534","435","2534","435","2507","437","27","20","0","12","570","219",
"1400000US17031071000","Census Tract 710, Cook County, Illinois","4297","490","2504","344","2504","344","2395","336","109","61","0","12","1793","309",
"1400000US17031071100","Census Tract 711, Cook County, Illinois","2979","510","2250","482","2250","482","2184","479","66","46","0","12","729","175",
"1400000US17031071200","Census Tract 712, Cook County, Illinois","1668","347","1304","238","1304","238","1275","228","29","48","0","12","364","168",
"1400000US17031071300","Census Tract 713, Cook County, Illinois","3785","532","2756","343","2756","343","2635","333","121","113","0","12","1029","411",
"1400000US17031071400","Census Tract 714, Cook County, Illinois","4675","710","3460","477","3460","477","3393","480","67","48","0","12","1215","412",
"1400000US17031071500","Census Tract 715, Cook County, Illinois","5674","625","4539","574","4539","574","4354","494","185","185","0","17","1135","287",
"1400000US17031071600","Census Tract 716, Cook County, Illinois","1549","289","1055","160","1055","160","1029","158","26","20","0","12","494","161",
"1400000US17031071700","Census Tract 717, Cook County, Illinois","1310","174","923","144","923","144","897","145","26","20","0","12","387","94",
"1400000US17031071800","Census Tract 718, Cook County, Illinois","2125","406","1592","367","1592","367","1574","373","18","20","0","12","533","134",
"1400000US17031080100","Census Tract 801, Cook County, Illinois","6565","793","4165","625","4165","625","4050","628","115","103","0","17","2400","453",
"1400000US17031080201","Census Tract 802.01, Cook County, Illinois","2918","580","2327","561","2327","561","2241","580","86","59","0","12","591","178",
"1400000US17031080202","Census Tract 802.02, Cook County, Illinois","3232","496","2421","414","2421","414","2383","405","38","37","0","12","811","271",
"1400000US17031080300","Census Tract 803, Cook County, Illinois","4372","491","3730","397","3730","397","3730","397","0","12","0","12","642","234",
"1400000US17031080400","Census Tract 804, Cook County, Illinois","3483","717","2700","717","2700","717","2550","722","150","101","0","12","783","226",
"1400000US17031081000","Census Tract 810, Cook County, Illinois","7979","994","5695","741","5695","741","5634","753","61","58","0","17","2284","674",
"1400000US17031081100","Census Tract 811, Cook County, Illinois","4155","426","3338","452","3338","452","3208","455","130","88","0","12","817","169",
"1400000US17031081201","Census Tract 812.01, Cook County, Illinois","4550","439","3117","374","3117","374","3053","381","64","51","0","12","1433","320",
"1400000US17031081202","Census Tract 812.02, Cook County, Illinois","2769","419","1549","263","1549","263","1512","259","37","30","0","12","1220","345",
"1400000US17031081300","Census Tract 813, Cook County, Illinois","5349","760","3196","619","3196","619","3073","614","123","89","0","17","2153","447",
"1400000US17031081401","Census Tract 814.01, Cook County, Illinois","2006","267","1372","241","1372","241","1350","246","22","25","0","12","634","149",
"1400000US17031081402","Census Tract 814.02, Cook County, Illinois","4865","517","3397","424","3397","424","3220","418","177","121","0","17","1468","359",
"1400000US17031081403","Census Tract 814.03, Cook County, Illinois","8533","1057","6861","1064","6861","1064","6672","1068","189","144","0","17","1672","454",
"1400000US17031081500","Census Tract 815, Cook County, Illinois","4473","740","3677","714","3677","714","3646","715","31","36","0","12","796","200",
"1400000US17031081600","Census Tract 816, Cook County, Illinois","3693","501","2905","382","2905","382","2793","367","112","121","0","12","788","226",
"1400000US17031081700","Census Tract 817, Cook County, Illinois","4329","534","3680","463","3680","463","3553","457","127","106","0","12","649","213",
"1400000US17031081800","Census Tract 818, Cook County, Illinois","10267","1157","8997","1022","8975","1026","8834","1047","141","152","22","34","1270","462",
"1400000US17031081900","Census Tract 819, Cook County, Illinois","901","172","735","159","735","159","735","159","0","12","0","12","166","86",
"1400000US17031090100","Census Tract 901, Cook County, Illinois","2682","417","2016","397","2016","397","1959","391","57","54","0","12","666","105",
"1400000US17031090200","Census Tract 902, Cook County, Illinois","4997","560","3567","491","3567","491","3508","494","59","56","0","17","1430","268",
"1400000US17031090300","Census Tract 903, Cook County, Illinois","1063","153","828","129","828","129","828","129","0","12","0","12","235","73",
"1400000US17031100100","Census Tract 1001, Cook County, Illinois","4789","587","3224","551","3224","551","3021","527","203","130","0","17","1565","333",
"1400000US17031100200","Census Tract 1002, Cook County, Illinois","5424","593","3860","516","3860","516","3674","518","186","103","0","17","1564","303",
"1400000US17031100300","Census Tract 1003, Cook County, Illinois","5372","484","3013","368","3013","368","2987","368","26","31","0","17","2359","359",
"1400000US17031100400","Census Tract 1004, Cook County, Illinois","2564","343","1730","318","1730","318","1690","313","40","33","0","12","834","145",
"1400000US17031100500","Census Tract 1005, Cook County, Illinois","4480","550","2668","363","2668","363","2631","360","37","43","0","17","1812","462",
"1400000US17031100600","Census Tract 1006, Cook County, Illinois","3695","416","2598","391","2598","391","2504","386","94","54","0","12","1097","156",
"1400000US17031100700","Census Tract 1007, Cook County, Illinois","4582","630","2919","420","2919","420","2651","371","268","229","0","17","1663","354",
"1400000US17031110100","Census Tract 1101, Cook County, Illinois","4449","742","3197","682","3197","682","3116","682","81","62","0","17","1252","246",
"1400000US17031110200","Census Tract 1102, Cook County, Illinois","2501","474","1583","426","1583","426","1367","272","216","198","0","12","918","195",
"1400000US17031110300","Census Tract 1103, Cook County, Illinois","4098","533","2738","449","2738","449","2625","440","113","63","0","17","1360","188",
"1400000US17031110400","Census Tract 1104, Cook County, Illinois","3762","475","2611","424","2611","424","2496","427","115","63","0","12","1151","188",
"1400000US17031110501","Census Tract 1105.01, Cook County, Illinois","4246","537","3089","522","3089","522","3000","517","89","50","0","17","1157","170",
"1400000US17031110502","Census Tract 1105.02, Cook County, Illinois","2950","448","2017","317","2017","317","1963","328","54","58","0","12","933","292",
"1400000US17031120100","Census Tract 1201, Cook County, Illinois","3545","422","2333","286","2333","286","2154","215","179","116","0","12","1212","312",
"1400000US17031120200","Census Tract 1202, Cook County, Illinois","3676","413","2307","273","2307","273","2263","273","44","37","0","12","1369","264",
"1400000US17031120300","Census Tract 1203, Cook County, Illinois","5153","551","3343","492","3343","492","3226","490","117","64","0","17","1810","370",
"1400000US17031120400","Census Tract 1204, Cook County, Illinois","2961","362","2150","365","2150","365","1994","314","156","93","0","12","811","133",
"1400000US17031130100","Census Tract 1301, Cook County, Illinois","4141","489","1783","253","1783","253","1725","236","58","46","0","17","2358","426",
"1400000US17031130200","Census Tract 1302, Cook County, Illinois","1384","239","771","109","771","109","754","117","17","25","0","12","613","215",
"1400000US17031130300","Census Tract 1303, Cook County, Illinois","4506","737","3053","554","3053","554","2846","518","207","105","0","17","1453","281",
"1400000US17031140100","Census Tract 1401, Cook County, Illinois","2553","520","1798","312","1798","312","1646","304","152","85","0","12","755","273",
"1400000US17031140200","Census Tract 1402, Cook County, Illinois","5563","739","3682","721","3682","721","3550","713","132","67","0","17","1881","289",
"1400000US17031140301","Census Tract 1403.01, Cook County, Illinois","2300","423","1600","395","1600","395","1490","369","110","78","0","12","700","157",
"1400000US17031140302","Census Tract 1403.02, Cook County, Illinois","3178","437","2275","366","2259","360","2140","345","119","94","16","24","903","207",
"1400000US17031140400","Census Tract 1404, Cook County, Illinois","4608","637","2923","500","2923","500","2771","445","152","115","0","17","1685","315",
"1400000US17031140500","Census Tract 1405, Cook County, Illinois","3103","450","2189","364","2179","365","2067","380","112","72","10","16","914","302",
"1400000US17031140601","Census Tract 1406.01, Cook County, Illinois","2246","351","1472","262","1472","262","1314","209","158","105","0","12","774","155",
"1400000US17031140602","Census Tract 1406.02, Cook County, Illinois","3868","566","3036","504","3036","504","2756","470","280","149","0","17","832","232",
"1400000US17031140701","Census Tract 1407.01, Cook County, Illinois","2471","359","2035","352","2035","352","1956","353","79","46","0","12","436","109",
"1400000US17031140702","Census Tract 1407.02, Cook County, Illinois","4746","518","3433","351","3433","351","3242","355","191","95","0","17","1313","274",
"1400000US17031140800","Census Tract 1408, Cook County, Illinois","4903","853","3883","883","3883","883","3499","533","384","496","0","17","1020","231",
"1400000US17031150200","Census Tract 1502, Cook County, Illinois","6565","946","4495","732","4495","732","4200","707","295","163","0","17","2070","498",
"1400000US17031150300","Census Tract 1503, Cook County, Illinois","6470","714","4541","658","4541","658","4269","644","272","154","0","17","1929","427",
"1400000US17031150401","Census Tract 1504.01, Cook County, Illinois","3917","566","2485","359","2485","359","2408","362","77","67","0","12","1432","403",
